timestamp,symbol,side,quantity,entry_price,exit_price,stop_loss,target,holding_time,exit_reason,realized_pnl
2026-08-06 22:52:19,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL,500.0
2026-08-06 22:55:43,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL_TEST,500.0
2026-08-06 22:55:43,INFY,LONG,50,500.0,490.0,480.0,510.0,0:00:00,MANUAL_TEST,-500.0
2026-08-06 22:55:43,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL,500.0
2026-08-06 23:01:54,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL_TEST,500.0
2026-08-06 23:01:54,INFY,LONG,50,500.0,490.0,480.0,510.0,0:00:00,MANUAL_TEST,-500.0
2026-08-06 23:01:54,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL,500.0
2026-08-06 23:03:08,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL_TEST,500.0
2026-08-06 23:03:08,INFY,LONG,50,500.0,490.0,480.0,510.0,0:00:00,MANUAL_TEST,-500.0
2026-08-06 23:03:08,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL,500.0
2026-08-06 23:03:08,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-06 23:03:09,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-06 23:09:26,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-06 23:11:57,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-06 23:13:50,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-06 23:16:23,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-06 23:20:51,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL_TEST,500.0
2026-08-06 23:20:51,INFY,LONG,50,500.0,490.0,480.0,510.0,0:00:00,MANUAL_TEST,-500.0
2026-08-06 23:20:51,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL,500.0
2026-08-06 23:20:52,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-06 23:20:52,INFY,LONG,50,500.0,480.0,480.0,510.0,0:00:00,STOP_LOSS,-1000.0
2026-08-06 23:22:50,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL_TEST,500.0
2026-08-06 23:22:50,INFY,LONG,50,500.0,490.0,480.0,510.0,0:00:00,MANUAL_TEST,-500.0
2026-08-06 23:22:50,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL,500.0
2026-08-06 23:22:50,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-06 23:22:50,INFY,LONG,50,500.0,480.0,480.0,510.0,0:00:00,STOP_LOSS,-1000.0
2026-08-07 10:20:30,INFY,LONG,42,1179.0,1174.185714285714,1174.185714285714,1225.8000000000002,0:45:03,STOP_LOSS,-202.20000000000846
2026-08-07 10:20:30,TCS,LONG,16,2435.3,2435.3,2435.3,2555.9000000000005,0:40:02,STOP_LOSS,0.0
2026-08-07 13:10:45,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL_TEST,500.0
2026-08-07 13:10:45,INFY,LONG,50,500.0,490.0,480.0,510.0,0:00:00,MANUAL_TEST,-500.0
2026-08-07 13:10:45,INFY,LONG,50,500.0,510.0,480.0,510.0,0:00:00,MANUAL,500.0
2026-08-07 13:10:45,INFY,LONG,50,500.0,510.0,500.0,510.0,0:00:00,TARGET,500.0
2026-08-07 13:10:45,INFY,LONG,50,500.0,480.0,480.0,510.0,0:00:00,STOP_LOSS,-1000.0
